id,name,country,lat,lon
1681272,Tuba,PH,16.389721,120.560829
1681284,Tuao,PH,17.73641,121.456352
1681313,Sabang,PH,12.07833,124.535561
1681316,Trinidad,PH,10.07955,124.343239
1681333,Trento,PH,8.04583,126.063606
1681346,Trapiche,PH,10.68417,122.43222
1681357,Tranca,PH,14.11815,121.057411
1681359,Tran,PH,6.72028,124.055
1681377,Totolan,PH,9.63286,123.847023
1681388,Tortosa,PH,10.93294,123.089996
1681392,Torrijos,PH,13.3238,122.084099
1681404,Toritori,PH,16.240499,119.987
1681419,Topdac,PH,16.5553,120.711601
1681428,Toong,PH,14.07063,120.763329
1681464,Tongouson,PH,5.0214,120.132797
1681499,Tondol,PH,16.3104,120.0131
1681501,Tondod,PH,15.71833,120.96917
1681526,Tominhao,PH,11.2277,124.043198
1681529,Tomingad,PH,12.45,122.01667
1681537,Tombod,PH,15.95,120.550003
1681543,Tamayong,PH,7.13306,125.379723
1681544,Tomas Oppus,PH,10.25056,124.983063
1681563,Tomado,PH,7.1925,124.608063
1681570,Tolosa,PH,11.1,125.01667
1681598,Toledo City,PH,10.38333,123.633331
1681602,Toledo,PH,10.37917,123.641937
1681630,Tocok,PH,15.75,120.300003
1681632,Tococ East,PH,15.83333,120.416672
1681652,Tobuan,PH,16.05562,120.110237
1681655,Toboy,PH,16.0271,120.636902
1681656,Toboso,PH,10.71435,123.516197
1681676,Tiwi,PH,13.4585,123.680496
1681689,Titay,PH,7.8125,122.534439
1681699,Tiring,PH,10.8527,122.511002
1681715,Tipo-Tipo,PH,6.58139,122.179443
1681730,Tipolo,PH,10.0196,124.514397
1681743,Tipaz,PH,13.83083,121.428886
1681745,Tiparak,PH,8.0341,123.528801
1681759,Tinutulan,PH,7.1,124.650002
1681766,Tinongan,PH,10.215,123.035278
1681777,Tinubuan,PH,11.186,124.007797
1681782,Tinoto,PH,5.88667,125.070557
1681798,Tinogboc,PH,12.00737,121.412209
1681820,Tiniguiban,PH,11.3574,119.504898
1681830,"Brgy. Tinigao, Kalibo",PH,11.7,122.366669
1681843,Tingloy,PH,13.66091,120.871101
1681846,Tinglayan,PH,17.27611,121.162498
1681873,Tindog,PH,11.1247,124.011803
1681887,Tinawagan,PH,13.65,123.48333
1681907,Tinaogan,PH,9.7791,123.150299
1681920,Tinang,PH,15.37626,120.653427
1681927,Tinampo,PH,13.23028,123.509438
1681931,Tinamnan,PH,14.09694,121.581673
1681934,Tinambacan,PH,12.09278,124.502502
1681936,Tinambac,PH,13.8164,123.326103
1681943,Tinalmud,PH,13.5941,122.877998
1681980,Tinago,PH,13.18333,123.650002
1681997,Tinagacan,PH,6.19917,125.229439
1682026,Tinaan,PH,11.26667,123.75
1682044,Timpas,PH,11.479,122.732399
1682048,Timonan,PH,8.2117,123.068199
1682098,Tiling,PH,9.9736,122.654404
1682100,Tilik,PH,13.81436,120.200218
1682118,Tikiw,PH,15.311,120.859398
1682122,Ticala-an,PH,8.03528,124.620827
1682146,Tigum,PH,10.78333,122.566673
1682151,Tiguisan,PH,12.83941,121.460518
1682155,Tiguion,PH,13.3347,121.861
1682164,Tiguib,PH,9.8008,123.135201
1682166,Tigui,PH,13.2681,122.041496
1682171,Tigtabon,PH,6.89556,122.166939
1682180,Tignoan,PH,14.56472,121.61972
1682182,Tignapalan,PH,8.26389,124.574722
1682196,Tiglauigan,PH,10.95389,123.358063
1682219,Tigbinan,PH,14.18648,122.469231
